epoch,phase,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,lr
1,P1,0.3510406575129404,0.9452924196290876,0.8762175324675324,0.22424807278615125,0.9707407407407407,0.9377358490566038,0.001
2,P1,0.2262021362442862,0.9730015427878129,0.9204545454545454,0.18236118465099693,0.9783475783475784,0.9528301886792453,0.001
3,P1,0.1841006237384561,0.9816697564161454,0.9431818181818182,0.16746556916326846,0.9802991452991453,0.9528301886792453,0.001
4,P1,0.18392678190554893,0.9810960794431232,0.935064935064935,0.1602538045847191,0.9813532763532763,0.9528301886792453,0.001
5,P1,0.18892553799434916,0.9770492883717405,0.9403409090909091,0.15929021531680845,0.9817806267806268,0.9490566037735849,0.001
6,P2,0.16018880477973393,0.983652971647752,0.9476461038961039,0.138527967148232,0.9863105413105413,0.9566037735849057,9.755282581475769e-05
7,P2,0.125260498341439,0.9886781809171332,0.9622564935064936,0.1379884050280418,0.988019943019943,0.9660377358490566,9.045084971874738e-05
8,P2,0.11472770584408533,0.9905812191103789,0.9642857142857143,0.12464954375096088,0.9903276353276353,0.9641509433962264,7.938926261462366e-05
9,P2,0.10410828230745316,0.99166872625297,0.9695616883116883,0.12975060002843164,0.9905698005698006,0.9641509433962264,6.545084971874738e-05
10,P2,0.09521142934001499,0.9938380751596664,0.9671266233766234,0.13012384269737973,0.991082621082621,0.9641509433962264,5e-05
11,P2,0.08582734232072949,0.9952762049367877,0.9715909090909091,0.13071123226985054,0.9908689458689459,0.9660377358490566,3.4549150281252636e-05
12,P2,0.09102079198338914,0.9941792874372257,0.9715909090909091,0.1349340401519582,0.9905840455840457,0.9641509433962264,2.061073738537635e-05
13,P2,0.08357871569656804,0.9950446175544045,0.9756493506493507,0.13411922130804016,0.9912393162393162,0.969811320754717,9.549150281252633e-06
14,P2,0.07730164251731733,0.9956762249707399,0.9744318181818182,0.12898985242365665,0.9912250712250712,0.9641509433962264,2.4471741852423237e-06
15,P2,0.0926665308206439,0.9942486504725571,0.96875,0.1279496663548755,0.9915099715099716,0.9641509433962264,0.0001
16,P2,0.08232951402443449,0.9956285341452806,0.9715909090909091,0.12077008076715019,0.9925925925925927,0.9641509433962264,9.938441702975689e-05
17,P2,0.07539255607324387,0.9960541621767686,0.9744318181818182,0.12111950038914691,0.9932336182336182,0.9660377358490566,9.755282581475769e-05
18,P2,0.09798045881325379,0.9935534599485385,0.9736201298701299,0.12570582519302953,0.9934188034188035,0.9641509433962264,9.45503262094184e-05
19,P2,0.06878647780160771,0.996515509508698,0.9801136363636364,0.11902180834374619,0.9938603988603989,0.9679245283018868,9.045084971874738e-05
20,P2,0.0601093087743366,0.9977383303579725,0.9801136363636364,0.114981876629106,0.9941025641025641,0.9660377358490566,8.535533905932738e-05
21,P2,0.05304946349298751,0.9978837966441273,0.9821428571428571,0.11505151144668178,0.9942877492877492,0.9679245283018868,7.938926261462366e-05
22,P2,0.06006752862160354,0.9973038343416769,0.9821428571428571,0.11575532232340917,0.9945726495726497,0.9679245283018868,7.269952498697734e-05
23,P2,0.0406196040011392,0.9989251230572638,0.9878246753246753,0.11260399432975869,0.995,0.969811320754717,6.545084971874738e-05
24,P2,0.06382143234190767,0.9963793903351995,0.9833603896103896,0.11072300288668079,0.9951709401709401,0.969811320754717,5.782172325201155e-05
25,P2,0.04265568723462525,0.9986931076752739,0.9857954545454546,0.1075224556331962,0.9954558404558405,0.9679245283018868,5e-05
26,P2,0.036808821570556066,0.9990021716277981,0.989448051948052,0.10894181811127741,0.9951709401709402,0.9716981132075472,4.217827674798847e-05
27,P2,0.035437597389389265,0.999077305336141,0.9886363636363636,0.11727138789225686,0.9953418803418803,0.969811320754717,3.4549150281252636e-05
28,P2,0.03355286382982551,0.9992031625680179,0.9882305194805194,0.10887070534364232,0.9954558404558405,0.969811320754717,2.7300475013022663e-05
29,P2,0.048738882861057806,0.9981342877836381,0.9853896103896104,0.10965501331627579,0.9954843304843304,0.969811320754717,2.061073738537635e-05
30,P2,0.03991155195191303,0.9989119718681133,0.9874188311688312,0.10471374969490153,0.9957834757834757,0.969811320754717,1.4644660940672627e-05
31,P2,0.03632074036842776,0.9990609555189457,0.9878246753246753,0.10853889496109606,0.9952421652421652,0.9716981132075472,9.549150281252633e-06
32,P2,0.055570498509962804,0.9973862153505476,0.9862012987012987,0.10951897827051756,0.9952279202279202,0.9716981132075472,5.449673790581611e-06
33,P2,0.035363716443888346,0.9988914482681351,0.9906655844155844,0.10918377652404092,0.9952706552706553,0.969811320754717,2.4471741852423237e-06
34,P2,0.04595512043859155,0.9982925448594133,0.9882305194805194,0.1090531319032757,0.9954131054131055,0.9716981132075472,6.15582970243117e-07
35,P2,0.04261956243045732,0.9988400753950992,0.9862012987012987,0.1054700433452315,0.9957549857549858,0.9716981132075472,0.0001
